app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result,,
125,com.oliabric.wbcapsule,WB капсульный гардероб,2,"{'data_shared': [], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Other app performance data', 'purpose': 'Analytics - Developer communications', 'optional': True}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Email address', 'purpose': 'Analytics - Developer communications', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
The WB Capsule app, provided by Olga Riabkova, may use your personal information to improve services and may share such information with third-party service providers such as Google Play Services, Google Analytics for Firebase, and Firebase Crashlytics. Personal information may be retained on the user's device. These third parties have access to the personal information to carry out services on behalf of the app distributor, though they are obligated not to disclose or use the information for any other purpose. The app does not intend to use cookies explicitly; however, third-party codes may generate cookies to collect information and enhance their services, which users have an option to accept or refuse.
Data Collect:
Information collection in the WB Capsule app includes certain personally identifiable information required for a better user experience. Additionally, in case of an error in the app, it may collect data and information (Log Data) which may include but is not limited to, device's Internet Protocol (""IP"") address, device name, operating system version, the configuration of the app, the time and date of usage, and other statistics. Importantly, the services do not process data of anyone under the age of 13 years.","{""inconsistent"": 1}",,
201,org.rbc.odb,Our Daily Bread,3,"{'data_shared': [], 'data_collected': [{'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'App functionality - Analytics - Developer communications - Personalization - Account management', 'optional': True}, {'data_type': 'Email address', 'purpose': 'App functionality - Developer communications - Account management', 'optional': True}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'Other user-generated content', 'purpose': 'Personalization', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share:
1. We may disclose your personal information to any of our global Our Daily Bread Ministries offices and affiliates to deliver the services you requested.
2. We work with several third-party companies to provide the features and functionalities necessary to run our websites. These include Google Analytics for general usage statistics, IBM Watson Campaign Automation for managing our email program, WordPress for delivering website experiences, Magento and WooCommerce for financial transactions, CrazyEgg for general usage statistics, and Unbounce for website testing. Furthermore, donor information may be furnished to state or federal agencies in accordance with applicable statutes.
3. If you request deletion or modification of your personal information, we may retain your data if necessary to comply with legal obligations, meet regulatory requirements, maintain security, resolve disputes, enforce our Terms and Conditions or fulfill your other requests.
Data Collect:
1. To access some features on our websites (such as creating a journal entry or commenting), you need to create an account and share certain information, such as your name, email, and country.
2. We collect information from you in several ways on our websites. This includes when you make a donation, create an account, contact us via forms, register for email updates, use mobile apps, participate in polls and surveys, enter contests and giveaways, engage in website comments, and make other transactions involving a payment from you to us.
3. Our websites use cookies to collect information about pages viewed, frequency of visit, country of visit, and the user journey around our websites. Most browsers allow you to refuse to accept cookies and to delete cookies.
4. While using our websites, we may collect your personal information, including IP address. We use your information to deliver products or services, analyze and monitor visitor activity, provide awareness and opportunities for you to engage with additional ministry content, services or the like, and plan the future development of our websites.
5. We also store personal information in secure databases that can only be accessed by authorized employees. We implement industry standard security safeguards designed to protect your data.","{""inconsistent"": 1}",,
202,com.rustybrick.shabbat,Shabbat Shalom,3,"{'data_shared': [], 'data_collected': [{'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Location', 'sub_info': [{'data_type': 'Approximate location', 'purpose': 'App functionality', 'optional': True}, {'data_type': 'Precise location', 'purpose': 'App functionality', 'optional': True}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
RustyBrick may provide your Personally Identifiable Information (PII) to individuals or entities working with or on behalf of us. Your PII can be used to fulfill your requests and inform you about various services offered by us. We may also share your PII with third parties for direct marketing and other purposes. For direct marketing purposes, if you prefer us not to share your PII with third parties, you can express your preference by not submitting PII or sending an ""Opt-Out Request"" to us. We may also share your PII under other circumstances if necessary to comply with the law or a court order, apply or enforce the EULA, protect our interests, protect our users, or if a danger requires disclosure of such PII.
In addition to the above, we may assign our rights under this policy to third parties, or sell or transfer our assets, including PII, in connection with a business transaction such as a merger, reorganization, sale of assets or equity, or in the event of bankruptcy.
RustyBrick also collects and uses your non-PII. We may also collect anonymous and aggregate information from you through cookies, action tags and other methods.
Data Collect:
RustyBrick collects PII through the app. The types of PII that you may submit include your name, address, phone number, email address, and other biographical information. This information can be used by our partners and service providers to assist us in operating the app.
In addition to PII, we also collect non-PII. We may collect anonymous and aggregate information from you about your preferences in using the App through cookies, action tags and other methods. This information helps us monitor App usage, customize App features, and serve marketing tools.
RustyBrick takes steps in line with commercially reasonable industry standards to secure PII collected from you against loss, misuse, unauthorized access, and accidental destruction. However, we cannot guarantee that such information will not be lost, disclosed or accessed by accidental circumstances or unauthorized acts.
The App is intended for those above thirteen (13) years of age. We do not knowingly collect PII from anyone under thirteen (13) years of age.","{""inconsistent"": 1}",,
203,com.rstream.booksummaries,Book Summaries : Videos,3,"{'data_shared': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Analytics - Developer communications - Advertising or marketing - Personalization - Account management', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'In-app search history', 'purpose': 'App functionality - Analytics - Personalization', 'optional': False}, {'data_type': 'Other actions', 'purpose': 'App functionality - Analytics - Personalization', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Email address', 'purpose': 'App functionality - Analytics - Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'User IDs', 'purpose': 'App functionality - Analytics - Developer communications - Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'Other info', 'purpose': 'App functionality - Analytics - Developer communications - Personalization - Account management', 'optional': False}]}], 'data_collected': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Analytics - Developer communications - Advertising or marketing - Personalization - Account management', 'optional': False}]}, {'category': 'Photos and videos', 'sub_info': [{'data_type': 'Photos', 'purpose': 'App functionality - Analytics', 'optional': True}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'In-app search history', 'purpose': 'App functionality - Analytics - Personalization', 'optional': False}, {'data_type': 'Other actions', 'purpose': 'App functionality - Analytics - Personalization', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Email address', 'purpose': 'App functionality - Analytics - Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'User IDs', 'purpose': 'App functionality - Analytics - Developer communications - Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'Other info', 'purpose': 'App functionality - Analytics - Developer communications - Personalization - Account management', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
Our Privacy Policy covers how we share information in our mobile services, website, and any software provided in connection with Book Summaries services. We do not rent or sell your information to third parties outside Book Summaries without your consent. However, we may share your information with businesses that are legally part of the same group of companies that Book Summaries is part of or that become part of that group. Your data also might be shared with third-party organizations that help us provide the Service to you under reasonable confidentiality terms. Certain information such as cookie data may be shared with third-party advertising partners. In a legal scenario, we may access, preserve, and share your information. During a business transition like merger, acquisition, bankruptcy, your information could be among the items transferred.
Data Collect:
We collect different types of information including user content that you post through the Service, communications between you and Book Summaries, and analytics information through third-party tools. Information sent by your device to our service may also be collected, and cookies and similar technologies may be employed to gather information about your use of Book Summaries. We may also allow advertisers to serve ads or services to your devices using our or third-party cookies. Log file information is automatically reported by your browser along with your web request, IP address, browser type, referring/exit pages and URLs, domain names, landing pages, pages viewed, etc. Information from emails sent to our Users is also collected. For users accessing our service via a mobile device, we may collect, monitor, and store one or more “device identifiers”. Metadata associated with User Content is also collected. We can add metadata to your user content.","{""inconsistent"": 1}",,
204,com.marcorubio.examinigthescripturesdaily,Examinig the Scriptures Daily,3,"{'data_shared': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics - Advertising or marketing', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}]}], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
The following Privacy Policy applies to all the sections that manage and develop Aplicaciones TJ across mobile applications on Amazon Store, Google Play Store, and App Store. As a general principle, the applications do not share or disclose information without user approval, except under certain conditions:
a) When required by a competent authority with the fulfillment of the corresponding legal proceedings.
b) When in judgment of Aplicaciones TJ, it is necessary to enforce terms of use and other application terms or to safeguard the integrity of other users or the application.
Furthermore, we may disclose user-provided information and application-collected data when mandated by legal necessities or third-party analytical companies. We may also share information with advertisers and ad networks aiding in understanding interaction with in-app advertising.
Children’s Privacy
Our applications do not intentionally collect or store information of children aged 13 or below. If any data is detected to belong to a child under 13 years, it is immediately removed from our system.
Data Collect:
The application can collect certain information automatically including mobile device type, mobile device's unique identification, IP address, operating system, type of mobile apps used, and details on application use (such as duration of use and score).
We also store visitor information (name and email) to send updates about our activities and applications. Visitors who subscribe to our mailing list or fill out contact forms through our mobile apps provide this information voluntarily, and they can opt-out at any time.
Aplicaciones TJ does not collect physical addresses or banking details directly nor gathers precise location data.
Security measures are in place to protect all this data against unauthorized access. These measures are both online and offline, and in cases where additional data such as full name, address, credit card numbers, among others are required for purchases or services; these data are collected by external platforms, which are well recognized worldwide as secure payment gateways.","{""inconsistent"": 1}",,
205,com.inkspiredwriter,Inkspired,3,"{'data_shared': [], 'data_collected': [{'category': 'Photos and videos', 'sub_info': [{'data_type': 'Photos', 'purpose': 'App functionality', 'optional': True}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'App functionality - Personalization', 'optional': True}, {'data_type': 'In-app search history', 'purpose': 'App functionality - Personalization', 'optional': True}, {'data_type': 'Other user-generated content', 'purpose': 'App functionality - Account management', 'optional': True}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'App functionality - Account management', 'optional': True}, {'data_type': 'Email address', 'purpose': 'App functionality - Account management', 'optional': True}, {'data_type': 'User IDs', 'purpose': 'App functionality - Account management', 'optional': True}, {'data_type': 'Other info', 'purpose': 'App functionality - Account management', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share:
Inkspired is the sole data collector when you sign-up and use our service. Third-party services such as Google Analytics may track your activity to help us track overall website's performance but all accessed information is always anonymous. Personal information is never shared. We may share demographic and interest data with third parties like publishers or advertisers to match writers with more opportunities and to deliver appealing advertising. However, real names or personal information you've trusted us with are always excluded from this share. All transactions are handled through outside gateway providers and aren't stored or processed on our servers. Information isn't sold, traded, or otherwise transferred to outside parties.
Data Collect:
The data being collected when you use our service involves your full name, email address, country, city, and other details. We correlate information you generate when you access stories/communities and the categories/genres you prefer. This information is stored in our database along with your IP address to provide a better user experience. We do not store credit card information, instead, we use external services like PayPal and Stripe for these processes. The only information stored is the transaction ID generated at the moment of purchase or donation. Information is collected from you when you register, enter information, make a purchase, or navigate through our site and apps. The data is stored as long as you remain an Inkspired user. You can request data deletion at all times by contacting Support or by e-mailing us at [email protected] Personal information is protected by secured networks accessible by a limited number of authorized personnel. Plus, all sensitive/credit information supplied is encrypted via Secure Socket Layer (SSL) technology.","{""inconsistent"": 1}",,
206,com.mobeasyapp.app301303615095,سورة الواقعة مكتوبة بخط كبير,3,"{'data_shared': [], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Diagnostics', 'purpose': 'App functionality - Analytics - Advertising or marketing', 'optional': False}]}, {'category': 'Location', 'sub_info': [{'data_type': 'Approximate location', 'purpose': 'App functionality - Analytics - Advertising or marketing', 'optional': False}]}, {'category': 'Audio', 'sub_info': [{'data_type': 'Music files', 'purpose': 'App functionality - Analytics - Advertising or marketing', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
Waqiaa does not sell personal data to third parties. However, personal data may occasionally be shared in line with the Privacy Policy and pertinent legislation. This information can be disclosed to Waqiaa's parent companies, subsidiaries, agents, and contractors for the purpose of data collection and processing. Also, it discloses personal data to third parties, excluding agents and contractors, for reasons such as compliance with the law, protection of rights, preventing fraud, and addressing potential injuries or interferences. Waqiaa will attempt to notify individuals of such actions. Please note Waqiaa may share your personal data as necessary to third party service providers like credit card processors, e-mail service providers, shipping agents, data analyzers, and business intelligence providers. Non-personal and personal data may also be disclosed to all Waqiaa users and analytics companies.
Data Collect:
Waqiaa collects both personal and non-personal data. Non-personal data includes information that cannot directly identify an individual, such as application properties and user activities. This data is used to analyze service usage and to develop and manage services, also it may be disclosed to Waqiaa's partners and contractors. Personal data is voluntarily provided by the user while creating or modifying an account. It includes identifiers like Facebook ID, name, gender, location, and friend list from Facebook, along with game check-ins, preferences, and messages. Waqiaa may also collect information from user’s social networking sites provided that the user gives permission. This information may be used to analyze Service usage, provide customer and technical support, manage advertisement serving, and to develop the services. Personal data is stored securely in environments not accessible by the public.","{""inconsistent"": 1}",,
207,fr.nghs.android.dictionnaires,Offline dictionaries,3,"{'data_shared': [], 'data_collected': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Account management', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Email address', 'purpose': 'App functionality - Personalization - Account management', 'optional': True}]}], 'security_practices': [{'category': 'Data isn’t encrypted', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
Nicolas Guillaume Handheld Software (NGHS) does not sell your personal data to third parties. Personal data may be occasionally revealed in line with existing law and this Privacy Policy, and to its parent and subsidiary companies. Your personal data could be revealed to third parties as required by law enforcement or other government officials during investigations of illegal activities or those that may expose you or NGHS to legal responsibility. NGHS may also disclose your personal data if necessary to address potential or actual harm to NGHS's rights, property, users, or others who could suffer harm or loss. NGHS will make efforts to inform you of such disclosures to the extent permitted by law.
Data Collect:
NGHS collects information through services including non-personal and personal data. Non-personal data involves information that does not directly identify you, such as device properties, platform version, game progress, and other data as needed by NGHS. Tools or third-party analytical software are used to automatically collect non-personal data. Personal data includes identifiable information linking to you as an individual. This may be collected when registering for services, subscribing to newsletters, requesting technical support or at any instance where personal data is needed for use and/or participation. Collected data may include your name, language, screen/nickname, NGHS Services ID, and e-mail address. Personal data is used for analyzing service usage, providing customer and technical support, managing services including ad serving, and for development of NGHS services and products.","{""inconsistent"": 1}",,
208,com.amaltranslator.bisayatagalog,Bisaya to Tagalog Translator,3,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}]}","Data Share:
1. Privacy Policy of Third Party Service Providers Used by the App: The app may require users to provide specific personal identifiable information for a better experience. This information is stored on the user's device and is not collected. Third-party service providers have access to this data but are obligated not to disclose or use it for other purposes. These service providers include Google Play Services, AdMob, and Firebase Analytics.
2. Third-Party Sites and Services: The application and services may contain links to third-party websites, products, and services. These third-party data collectors, which may include location data or contact details, govern their own privacy practices. The app is not responsible for the privacy practices of these third parties.
3. Disclosure of Information: Personal Information is used internally to serve users and is not stored or disclosed. Non-Personal Information may be disclosed to trusted partners who comply with this privacy policy and relevant privacy laws.
Data Collect:
1. Information Collection and Use: The app collects personal information to provide a personalized, efficient experience to users. Collection categories include social networks' personal data, non-personal identification information about installed apps, app usage, device information, and information given by the user, e.g., via feedback channels.
2. Use of Collected Information: User data is utilized to personalize user experience, improve services through Non-Personal Information, and maintain and provide features and functionalities of the apps. This information is also used for direct communication with users and service-related emails or messages.
3. Cookies: The app may use third-party code and libraries that utilize ""cookies"" to collect data and improve their services. Users have the option to accept or refuse these cookies.
4. Sensitive Information: Users are asked not to send or disclose sensitive Personal Information related to racial or ethnic origin, political opinions, religion or other beliefs, health, sexual orientation, criminal background or membership in past organizations.
5. Advertising and Promotion: The app advertises and promotes its own applications and services in various ways. These promotions might be seen while playing different apps or in emails.
6. Children's Privacy: The services are not directed at persons under 13. Any information provided by a child under 13 is deleted from the servers. The app ensures this on the basis of Google's age parameters.","{""inconsistent"": 1}",,
209,com.amaltranslator.spanishhaitiancreole,Traduction Creole Espagnol,3,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}]}","Data Share:
1. If you choose to use this Service, your agreement to the collection and use of information will be in line with this policy. Personal Information collected is used to provide and improve the Service, and will not be shared with anyone except as outlined in this Privacy Policy.
2. Certain disclosures are provided to users in the European Economic Area (EEA), and their consent is obtained to use cookies or other local storage, where legally required, and to use personal data (such as Ad ID) to serve ads, in accordance with the EU Privacy Directive and General Data Protection Regulation (GDPR).
3. App has third-party service providers such as Google Play Services, AdMob, and Firebase Analytics. These parties have access to your Personal Data only to perform tasks on our behalf and are obligated not to disclose or use it for any other purpose.
4. The Applications, Services, and Site access information from third parties (such as your Facebook account information). When you click on links of third parties in an Application, the Services or the Site, you may leave the Application, the Services or the Site. However, the privacy practices of third-party websites, are not the responsibility of this App.
5. Information shared through the application may be intercepted, collected, used and disclosed by third parties. The App is not responsible for any interception, collection, use and disclosure of your information by any third party.
6. The App takes security of your data seriously and employs measures to protect your Non-Personal Information from unauthorized access and use. However, no security measures can guarantee complete protection against unauthorized access or usage.
Data Collect:
1. Personal and non-personal information is collected from users. Personal information may include social network's personal details while non-personal identification data could involve details about installed applications, usage information, and device information.
2. The App may collect the opinions you provide on the application and services through the feedback channel. This may include your email address, and names.
3. The app may require you to provide certain personally identifiable information for a better user experience. This information is retained on your device and is not collected in any way.
4. We may use your information to provide, maintain, improve and develop our services. We may also collect your non-personal information for market and promotional purposes. We use the information to operate and maintain our Apps, as well as communicate directly with you, such as to send you email messages and push notifications.
5. We do not store Personal Information and therefore we do not disclose your Personal Information. Non-Personal Information may be disclosed to trusted partners who shall comply with this privacy policy and the relevant privacy laws.
6. The App doesn't explicitly use cookies but may use third-party code and libraries that use cookies to collect information and improve their services.
7. The services provided are not directed to individuals under 13 and any personal information provided by a child under 13 is immediately deleted from the servers. If there is awareness of such cases, necessary actions will be taken.","{""inconsistent"": 0}",,
